Canción,Catálogo,Período,Nodos,Vistas,Yield/mes,Auditada
"Amor de Juventud",RO-02,1990-1997,54,6100000,244,No
"Piano y Corazón",RO-02,1990-1997,66,7000000,280,No
"No Me Dejes Solo",RO-02,1990-1997,77,7900000,316,No
"Fuerza Latina",RO-02,1990-1997,88,8700000,348,No
"El Ritmo Nos Une",RO-02,1990-1997,100,9600000,384,No
"Dulce Amada",RO-02,1990-1997,111,10500000,420,No
"A Todo Tren",RO-02,1990-1997,123,11400000,456,No
"Fiesta Dominicana",RO-02,1990-1997,30,12300000,492,No
"Te Compro Tu Novia",RO-02,1990-1997,36,4800000,192,No
"América Sin Queja",RO-02,1990-1997,49,5800000,232,No
"Pedacito de Patria",RO-02,1990-1997,62,6800000,272,No
"Ganas de Amarte",RO-02,1990-1997,76,7800000,312,No
"El Profesor de Baile",RO-02,1990-1997,89,8700000,348,No
"Mi Piano Romántico",RO-02,1990-1997,102,9700000,388,No
"Bailando el Ritmo",RO-02,1990-1997,115,10700000,428,No
"No Llores Más",RO-02,1990-1997,128,11700000,468,No
"Esclavo de Tu Amor",RO-02,1990-1997,142,12700000,508,No
"Gente Alegre",RO-02,1990-1997,35,13600000,544,No
"Unión de Naciones",RO-02,1990-1997,48,14600000,584,No
"Esa Muchacha",RO-02,1990-1997,24,3400000,136,No
"El Maestro del Ritmo",RO-02,1990-1997,33,4100000,164,No
"Gotas de Nostalgia",RO-02,1990-1997,42,4700000,188,No
"Por Ti Respiro",RO-02,1990-1997,50,5400000,216,No
"Piano Virtuoso",RO-02,1990-1997,59,6100000,244,No
"Amor Oculto",RO-02,1990-1997,68,6800000,272,No
"El Baile de la Noche",RO-02,1990-1997,77,7500000,300,No
"Sentimiento Puro",RO-02,1990-1997,86,8200000,328,No
"Vuelve a Mí",RO-02,1990-1997,94,8900000,356,No
"Fin de Fiesta",RO-02,1990-1997,23,9500000,380,No
"Balada de Amor",RO-02,1990-1997,22,2900000,116,No
"Evolución de Merengue",RO-02,1990-1997,30,3500000,140,No
"El Siglo Termina",RO-02,1990-1997,37,4100000,164,No
"La Chica del Siglo",RO-02,1990-1997,45,4700000,188,No
"Te Dedico Mi Piano",RO-02,1990-1997,53,5200000,208,No
"Amor de Fin de Año",RO-02,1990-1997,61,5800000,232,No
"Ritmo de Fin de Siglo",RO-02,1990-1997,69,6400000,256,No
"Corazón Herido",RO-02,1990-1997,77,7000000,280,No
"Vuelve Mi Amor",RO-02,1990-1997,85,7600000,304,No
"Baila el Nuevo Ritmo",RO-02,1990-1997,21,8200000,328,No
"Camino al Futuro",RO-02,1990-1997,29,8800000,352,No
"Bachata de Amargue",RO-03,2001,14,1900000,76,No
"Corazón Partido",RO-03,2001,20,2300000,92,No
"Guitarra Amarga",RO-03,2001,25,2700000,108,No
"Lágrimas de Amor",RO-03,2001,30,3100000,124,No
"Mi Niña Consentida",RO-03,2001,36,3500000,140,No
"Por un Te Quiero",RO-03,2001,41,3900000,156,No
"Te Extraño Tanto",RO-03,2001,46,4300000,172,No
"Amor de Cuerdas",RO-03,2001,51,4700000,188,No
"Falso Juramento",RO-03,2001,57,5100000,204,No
"Baila Mi Bachata",RO-03,2001,14,5500000,220,No
"Despedida de Amor",RO-03,2001,19,5800000,232,No
"En Tierra Ajena",RO-04,2005-2007,17,2400000,96,No
"Nostalgia de Mi Pueblo",RO-04,2005-2007,23,2900000,116,No
"Lejos de Casa",RO-04,2005-2007,29,3400000,136,No
"Un Canto a Nueva York",RO-04,2005-2007,35,3900000,156,No
"El Viajero Dominicano",RO-04,2005-2007,41,4400000,176,No
"Recuerdos de Quisqueya",RO-04,2005-2007,48,4900000,196,No
"Mi Piano en la Distancia",RO-04,2005-2007,54,5400000,216,No
"Cartas de Amor",RO-04,2005-2007,60,5800000,232,No
"Sabor de Patria",RO-04,2005-2007,66,6300000,252,No
"El Regreso",RO-04,2005-2007,16,6800000,272,No
"El Duro",RO-04,2005-2007,16,2200000,88,No
"Mambo del Piano",RO-04,2005-2007,21,2600000,104,No
"Merengue de la Calle",RO-04,2005-2007,27,3100000,124,No
"La Fuerza del Ritmo",RO-04,2005-2007,33,3500000,140,No
"Con el Piano Encendido",RO-04,2005-2007,38,3900000,156,No
"Gozadera Total",RO-04,2005-2007,44,4400000,176,No
"El Ritmo No Muere",RO-04,2005-2007,50,4800000,192,No
"A Corazón Abierto",RO-04,2005-2007,56,5300000,212,No
"Baila Sin Parar",RO-04,2005-2007,61,5700000,228,No
"Sabor Callejero",RO-04,2005-2007,15,6100000,244,No
"Fin del Mambo",RO-04,2005-2007,21,6600000,264,No
"Adoración en el Trono",RO-05,2014,8,1200000,48,No
"Canto de Alabanza",RO-05,2014,11,1500000,60,No
"Ante Ti Señor",RO-05,2014,15,1700000,68,No
"Gracias por Tu Amor",RO-05,2014,18,1900000,76,No
"Piano Celestial",RO-05,2014,21,2200000,88,No
"Fe y Esperanza",RO-05,2014,24,2400000,96,No
"Alaba a Dios",RO-05,2014,27,2700000,108,No
"En Tu Presencia",RO-05,2014,30,2900000,116,No
"Canto de Victoria",RO-05,2014,33,3200000,128,No
"Oración Final",RO-05,2014,8,3400000,136,No
"El Tiki Tiki del Amor",RO-06,2021-2026,680,36000000,1440,Sí
"Crónicas del Día a Día",RO-06,2021-2026,12,1700000,68,No
"El Baile de la Vida",RO-06,2021-2026,16,2000000,80,No
"Volver a Empezar",RO-06,2021-2026,21,2400000,96,No
"Abrazo Virtual",RO-06,2021-2026,25,2700000,108,No
"Piano de la Esperanza",RO-06,2021-2026,30,3100000,124,No
"Historias del Pueblo",RO-06,2021-2026,34,3400000,136,No
"Canto de Fe",RO-06,2021-2026,38,3700000,148,No
"Un Nuevo Despertar",RO-06,2021-2026,43,4100000,164,No
"Ritmo Sanador",RO-06,2021-2026,47,4400000,176,No
"Unidos por el Ritmo",RO-06,2021-2026,12,4800000,192,No
"Cierre de Crónicas",RO-06,2021-2026,16,5100000,204,No
"El Tiki Tiki del Amor",RO-06,2021-2026,18,2400000,96,No
"Aunque No Quisieran",RO-06,2021-2026,25,2900000,116,No
"El Merengue Vive",RO-06,2021-2026,31,3400000,136,No
"Colaboración de Oro",RO-06,2021-2026,38,3900000,156,No
"Piano Moderno",RO-06,2021-2026,44,4400000,176,No
"Ritmo de la Nueva Ola",RO-06,2021-2026,51,4900000,196,No
"Sencillo de Corazón",RO-06,2021-2026,58,5400000,216,No
"Amor Digital",RO-06,2021-2026,64,5800000,232,No
"Mambo 2026",RO-06,2021-2026,71,6300000,252,No
"Raíces y Futuro",RO-06,2021-2026,17,6800000,272,No
"El Legado Sigue",RO-06,2021-2026,24,7300000,292,No
"Canto de Oro (Final de Antología)",RO-06,2021-2026,31,7800000,312,No
